VaccinationRate,Day,Susceptible,Infectious,Recovered,Vaccinated
0,0,29999,1,0,0
0,1,29999,1,0,0
0,2,29999,1,0,0
0,3,29998,2,0,0
0,4,29996,4,0,0
0,5,29992,7,1,0
0,6,29986,13,1,0
0,7,29981,17,2,0
0,8,29970,26,4,0
0,9,29961,31,8,0
0,10,29945,41,14,0
0,11,29912,69,19,0
0,12,29877,93,30,0
0,13,29817,144,39,0
0,14,29731,214,55,0
0,15,29607,305,88,0
0,16,29422,455,123,0
0,17,29149,668,183,0
0,18,28759,972,269,0
0,19,28211,1396,393,0
0,20,27426,1996,578,0
0,21,26330,2819,851,0
0,22,24855,3904,1241,0
0,23,23009,5202,1789,0
0,24,20749,6677,2574,0
0,25,18206,8124,3670,0
0,26,15514,9341,5145,0
0,27,12775,10234,6991,0
0,28,10394,10355,9251,0
0,29,8481,9725,11794,0
0,30,6986,8528,14486,0
0,31,5920,6855,17225,0
0,32,5142,5252,19606,0
0,33,4660,3821,21519,0
0,34,4348,2638,23014,0
0,35,4109,1811,24080,0
0,36,3960,1182,24858,0
0,37,3862,798,25340,0
0,38,3796,552,25652,0
0,39,3744,365,25891,0
0,40,3727,233,26040,0
0,41,3714,148,26138,0
0,42,3701,95,26204,0
0,43,3695,49,26256,0
0,44,3693,34,26273,0
0,45,3688,26,26286,0
0,46,3685,16,26299,0
0,47,3683,12,26305,0
0,48,3683,10,26307,0
0,49,3682,6,26312,0
0,50,3682,3,26315,0
0,51,3682,1,26317,0
0,52,3682,1,26317,0
10,0,26999,1,0,3000
10,1,26998,2,0,3000
10,2,26998,2,0,3000
10,3,26997,3,0,3000
10,4,26995,5,0,3000
10,5,26993,5,2,3000
10,6,26991,7,2,3000
10,7,26990,7,3,3000
10,8,26982,13,5,3000
10,9,26975,18,7,3000
10,10,26962,29,9,3000
10,11,26951,39,10,3000
10,12,26928,54,18,3000
10,13,26903,72,25,3000
10,14,26867,95,38,3000
10,15,26826,125,49,3000
10,16,26767,161,72,3000
10,17,26675,228,97,3000
10,18,26554,313,133,3000
10,19,26374,452,174,3000
10,20,26140,627,233,3000
10,21,25810,865,325,3000
