VaccinationRate,Run,Day,Susceptible,Infectious,Recovered,Vaccinated
0,1,0,29999,1,0,0
0,1,1,29999,1,0,0
0,1,2,29996,4,0,0
0,1,3,29988,12,0,0
0,1,4,29967,33,0,0
0,1,5,29906,94,0,0
0,1,6,29724,276,0,0
0,1,7,29252,747,1,0
0,1,8,27986,2010,4,0
0,1,9,24768,5220,12,0
0,1,10,18062,11905,33,0
0,1,11,8773,21133,94,0
0,1,12,2467,27257,276,0
0,1,13,481,28771,748,0
0,1,14,92,27894,2014,0
0,1,15,25,24743,5232,0
0,1,16,4,18058,11938,0
0,1,17,0,8773,21227,0
0,1,18,0,2467,27533,0
0,1,19,0,481,29519,0
0,1,20,0,92,29908,0
0,1,21,0,25,29975,0
0,1,22,0,4,29996,0
0,2,0,29999,1,0,0
0,2,1,29997,3,0,0
0,2,2,29990,10,0,0
0,2,3,29970,30,0,0
0,2,4,29908,92,0,0
0,2,5,29748,252,0,0
0,2,6,29305,695,0,0
0,2,7,28094,1903,3,0
0,2,8,25125,4865,10,0
0,2,9,18849,11121,30,0
0,2,10,9636,20272,92,0
0,2,11,2880,26868,252,0
0,2,12,580,28725,695,0
0,2,13,93,28001,1906,0
0,2,14,12,25113,4875,0
0,2,15,6,18843,11151,0
0,2,16,3,9633,20364,0
0,2,17,2,2878,27120,0
0,2,18,2,578,29420,0
0,2,19,2,91,29907,0
0,2,20,2,10,29988,0
0,2,21,2,4,29994,0
0,2,22,2,1,29997,0
0,3,0,29999,1,0,0
0,3,1,29998,2,0,0
0,3,2,29996,4,0,0
0,3,3,29987,13,0,0
0,3,4,29958,42,0,0
0,3,5,29873,127,0,0
0,3,6,29656,344,0,0
0,3,7,29052,946,2,0
0,3,8,27448,2548,4,0
0,3,9,23607,6380,13,0
0,3,10,16040,13918,42,0
0,3,11,7109,22764,127,0
0,3,12,1801,27855,344,0
0,3,13,328,28724,948,0
0,3,14,66,27382,2552,0
0,3,15,21,23586,6393,0
0,3,16,6,16034,13960,0
0,3,17,2,7107,22891,0
0,3,18,2,1799,28199,0
0,3,19,2,326,29672,0
0,3,20,2,64,29934,0
0,3,21,2,19,29979,0
